,d1,d1s,d2,d2s,f1,f1s,f2,f2s,f3,f3s,t1,t1s,r1,r1s,cd1,cd1s,cd2,cd2s,cf1,cf1s,cf2,cf2s,cf3,cf3s,ct1,ct1s,cr1,cr1s
0,9,2,11,1,7,3,5,4,2,1,1,1,13,2,9,2,11,1,7,3,5,4,2,1,1,1,13,2
1,7,1,4,3,12,3,8,4,11,2,11,3,1,1,7,1,4,3,12,3,8,4,11,2,11,3,1,1
2,1,3,6,3,1,1,3,3,9,2,11,4,8,3,1,3,6,3,1,1,3,3,9,2,11,4,8,3
3,13,1,11,1,13,1,3,1,7,1,8,1,8,2,13,1,11,1,13,1,3,1,7,1,8,1,8,2
4,3,3,2,4,5,1,4,3,3,4,13,1,10,2,3,3,2,4,5,1,4,3,3,4,13,1,10,2
5,5,1,13,1,8,4,9,1,10,2,10,4,1,4,5,1,13,1,8,4,9,1,10,2,10,4,1,4
6,2,3,5,2,8,1,7,4,9,3,13,3,13,2,2,3,5,2,8,1,7,4,9,3,13,3,13,2
7,3,2,1,3,2,1,9,1,2,2,7,3,10,3,3,2,1,3,2,1,9,1,2,2,7,3,10,3
8,13,2,9,2,11,1,2,4,4,4,10,3,7,2,13,2,9,2,11,1,2,4,4,4,10,3,7,2
9,4,3,3,3,2,2,6,1,7,3,12,4,9,3,4,3,3,3,2,2,6,1,7,3,12,4,9,3
10,2,4,3,4,5,1,2,2,4,2,7,3,12,2,2,4,3,4,5,1,2,2,4,2,7,3,12,2
11,3,1,8,4,2,1,3,1,6,4,11,3,5,1,3,1,8,4,2,1,3,1,6,4,11,3,5,1
12,12,3,1,4,6,2,13,3,1,3,8,4,10,4,12,3,1,4,6,2,13,3,1,3,8,4,10,4
13,13,1,6,4,8,1,5,3,11,2,9,4,2,3,13,1,6,4,8,1,5,3,11,2,9,4,2,3
14,6,1,3,4,13,1,3,3,2,2,5,3,5,1,6,1,3,4,13,1,3,3,2,2,5,3,5,1
15,7,3,13,3,10,2,4,3,2,2,1,2,12,3,7,3,13,3,10,2,4,3,2,2,1,2,12,3
16,5,2,4,2,12,2,2,4,12,3,7,3,13,2,5,2,4,2,12,2,2,4,12,3,7,3,13,2
17,1,3,11,1,5,2,8,3,8,3,7,2,5,4,1,3,11,1,5,2,8,3,8,3,7,2,5,4
18,8,4,4,2,13,3,13,1,9,4,11,2,12,1,8,4,4,2,13,3,13,1,9,4,11,2,12,1
19,6,3,12,1,12,1,9,2,9,2,12,4,4,1,6,3,12,1,12,1,9,2,9,2,12,4,4,1
20,4,4,4,4,13,4,6,4,6,3,5,4,1,4,4,4,4,4,13,4,6,4,6,3,5,4,1,4
21,8,4,2,2,5,2,8,2,8,3,13,2,7,2,8,4,2,2,5,2,8,2,8,3,13,2,7,2
22,12,3,11,2,8,1,1,2,2,3,13,4,1,2,12,3,11,2,8,1,1,2,2,3,13,4,1,2
23,13,2,3,1,5,1,9,4,11,1,6,2,11,2,13,2,3,1,5,1,9,4,11,1,6,2,11,2
24,10,2,12,3,4,2,5,1,2,2,5,2,1,4,10,2,12,3,4,2,5,1,2,2,5,2,1,4
25,13,1,1,4,11,4,3,3,8,4,6,1,8,1,13,1,1,4,11,4,3,3,8,4,6,1,8,1
26,9,4,2,1,9,1,10,3,3,4,2,1,1,1,9,4,2,1,9,1,10,3,3,4,2,1,1,1
27,6,4,1,1,10,4,4,3,13,3,5,4,7,3,6,4,1,1,10,4,4,3,13,3,5,4,7,3
28,9,2,4,3,8,1,9,2,2,4,9,1,8,3,9,2,4,3,8,1,9,2,2,4,9,1,8,3
29,6,2,3,4,9,1,1,1,13,4,2,4,13,3,6,2,3,4,9,1,1,1,13,4,2,4,13,3
30,11,2,11,3,7,3,7,3,8,1,9,2,10,3,11,2,11,3,7,3,7,3,8,1,9,2,10,3
31,11,1,11,3,6,2,10,3,2,2,1,1,5,2,11,1,11,3,6,2,10,3,2,2,1,1,5,2
32,9,2,3,1,10,3,8,1,7,4,13,2,8,1,9,2,3,1,10,3,8,1,7,4,13,2,8,1
33,2,4,13,2,4,2,8,3,5,3,1,4,5,3,2,4,13,2,4,2,8,3,5,3,1,4,5,3
34,3,3,11,3,4,3,7,1,11,4,11,3,9,3,3,3,11,3,4,3,7,1,11,4,11,3,9,3
35,12,2,8,3,7,2,12,1,7,2,3,2,4,1,12,2,8,3,7,2,12,1,7,2,3,2,4,1
36,9,3,13,1,7,3,2,3,3,2,2,4,2,3,9,3,13,1,7,3,2,3,3,2,2,4,2,3
37,10,1,7,4,10,2,5,1,13,4,3,4,13,2,10,1,7,4,10,2,5,1,13,4,3,4,13,2
38,2,2,3,3,10,4,1,1,4,2,5,2,10,1,2,2,3,3,10,4,1,1,4,2,5,2,10,1
39,11,3,3,3,9,3,12,2,8,2,9,3,10,3,11,3,3,3,9,3,12,2,8,2,9,3,10,3
40,7,1,7,2,2,3,13,4,8,2,1,2,9,4,7,1,7,2,2,3,13,4,8,2,1,2,9,4
41,8,2,9,3,11,4,13,4,5,2,13,1,8,4,8,2,9,3,11,4,13,4,5,2,13,1,8,4
42,4,4,7,3,13,1,11,2,5,2,7,4,2,2,4,4,7,3,13,1,11,2,5,2,7,4,2,2
43,8,2,7,4,1,4,10,4,4,1,5,1,5,3,8,2,7,4,1,4,10,4,4,1,5,1,5,3
44,7,3,9,2,11,4,4,1,6,1,9,3,6,3,7,3,9,2,11,4,4,1,6,1,9,3,6,3
45,12,3,8,3,9,4,3,2,13,2,8,2,8,4,12,3,8,3,9,4,3,2,13,2,8,2,8,4
46,5,1,2,1,11,2,10,4,12,3,12,4,2,1,5,1,2,1,11,2,10,4,12,3,12,4,2,1
47,8,3,13,3,8,2,2,2,5,3,8,3,12,1,8,3,13,3,8,2,2,2,5,3,8,3,12,1
48,13,1,11,3,11,2,3,3,12,2,6,1,5,3,13,1,11,3,11,2,3,3,12,2,6,1,5,3
49,9,1,8,3,7,3,2,1,2,3,7,2,1,1,9,1,8,3,7,3,2,1,2,3,7,2,1,1
50,6,4,7,1,6,1,6,3,1,4,8,1,4,1,6,4,7,1,6,1,6,3,1,4,8,1,4,1
51,6,3,4,1,7,2,4,3,2,1,9,2,10,1,6,3,4,1,7,2,4,3,2,1,9,2,10,1
52,4,1,2,3,13,2,12,3,6,3,8,2,8,3,4,1,2,3,13,2,12,3,6,3,8,2,8,3
53,6,3,2,1,9,2,1,4,12,4,4,1,8,2,6,3,2,1,9,2,1,4,12,4,4,1,8,2
54,2,1,4,2,11,4,5,4,8,1,2,4,3,4,2,1,4,2,11,4,5,4,8,1,2,4,3,4
55,11,1,13,3,9,3,10,4,3,3,5,1,12,4,11,1,13,3,9,3,10,4,3,3,5,1,12,4
56,6,3,11,3,7,4,2,4,4,2,10,4,1,4,6,3,11,3,7,4,2,4,4,2,10,4,1,4
57,11,4,5,1,12,2,11,3,12,2,7,1,4,2,11,4,5,1,12,2,11,3,12,2,7,1,4,2
58,9,3,3,3,7,2,8,2,5,3,9,4,10,3,9,3,3,3,7,2,8,2,5,3,9,4,10,3
59,10,4,11,2,3,2,13,2,12,2,11,2,5,2,10,4,11,2,3,2,13,2,12,2,11,2,5,2
60,2,4,10,2,9,2,5,4,9,3,2,3,4,4,2,4,10,2,9,2,5,4,9,3,2,3,4,4
61,11,4,1,2,5,2,8,4,6,3,8,1,7,2,11,4,1,2,5,2,8,4,6,3,8,1,7,2
62,10,3,11,1,11,1,3,1,4,3,2,4,6,3,10,3,11,1,11,1,3,1,4,3,2,4,6,3
63,8,1,2,2,10,1,8,2,2,3,13,2,3,2,8,1,2,2,10,1,8,2,2,3,13,2,3,2
64,9,3,3,3,2,3,6,1,12,1,8,3,10,4,9,3,3,3,2,3,6,1,12,1,8,3,10,4
65,12,3,6,4,7,3,13,1,11,1,7,4,8,2,12,3,6,4,7,3,13,1,11,1,7,4,8,2
66,9,2,5,4,8,3,8,1,1,2,7,2,2,2,9,2,5,4,8,3,8,1,1,2,7,2,2,2
67,8,4,12,3,10,2,2,4,3,3,2,2,13,2,8,4,12,3,10,2,2,4,3,3,2,2,13,2
68,11,4,10,2,3,1,13,1,11,1,4,3,2,2,11,4,10,2,3,1,13,1,11,1,4,3,2,2
69,5,3,4,2,6,4,4,1,10,3,8,2,6,1,5,3,4,2,6,4,4,1,10,3,8,2,6,1
70,6,4,3,2,4,1,8,3,12,2,8,1,8,2,6,4,3,2,4,1,8,3,12,2,8,1,8,2
71,6,2,6,2,2,3,2,2,9,3,1,4,2,1,6,2,6,2,2,3,2,2,9,3,1,4,2,1
72,3,4,4,2,6,4,1,4,3,2,1,4,12,2,3,4,4,2,6,4,1,4,3,2,1,4,12,2
73,7,1,11,3,10,3,4,3,3,4,2,1,5,2,7,1,11,3,10,3,4,3,3,4,2,1,5,2
74,9,1,5,2,9,3,6,4,6,4,12,2,4,2,9,1,5,2,9,3,6,4,6,4,12,2,4,2
75,8,3,1,4,9,3,7,1,2,3,2,4,11,1,8,3,1,4,9,3,7,1,2,3,2,4,11,1
76,3,4,4,2,10,2,10,2,10,3,6,1,3,3,3,4,4,2,10,2,10,2,10,3,6,1,3,3
77,1,1,10,2,8,1,2,2,4,2,2,2,5,4,1,1,10,2,8,1,2,2,4,2,2,2,5,4
78,12,3,9,4,2,3,6,1,13,1,1,4,6,2,12,3,9,4,2,3,6,1,13,1,1,4,6,2
79,8,3,5,3,1,3,13,2,8,2,9,1,2,4,8,3,5,3,1,3,13,2,8,2,9,1,2,4
80,6,4,8,3,13,3,2,3,7,1,2,1,5,2,6,4,8,3,13,3,2,3,7,1,2,1,5,2
81,13,4,2,2,4,4,5,1,7,4,10,1,9,4,13,4,2,2,4,4,5,1,7,4,10,1,9,4
82,5,4,10,3,9,1,1,4,2,2,3,1,6,4,5,4,10,3,9,1,1,4,2,2,3,1,6,4
83,3,2,6,2,4,1,3,2,5,2,7,3,8,2,3,2,6,2,4,1,3,2,5,2,7,3,8,2
84,1,4,3,4,2,2,8,3,13,2,6,2,6,3,1,4,3,4,2,2,8,3,13,2,6,2,6,3
85,4,1,2,4,3,1,6,3,2,2,1,4,10,4,4,1,2,4,3,1,6,3,2,2,1,4,10,4
86,6,3,1,4,12,4,13,2,8,2,12,3,11,3,6,3,1,4,12,4,13,2,8,2,12,3,11,3
87,13,2,3,3,5,4,9,3,4,1,3,1,2,4,13,2,3,3,5,4,9,3,4,1,3,1,2,4
88,3,2,9,4,3,2,2,2,9,4,2,3,5,4,3,2,9,4,3,2,2,2,9,4,2,3,5,4
