,rank1,suit1,rank2,suit2,rank3,suit3,rank4,suit4,rank5,suit5,rank6,suit6,rank7,suit7,class,win
0,13,clubs,2,diamonds,6,hearts,2,spades,10,spades,5,spades,3,clubs,1,1
1,7,clubs,4,diamonds,6,hearts,2,spades,10,spades,5,spades,3,clubs,0,-1
2,2,diamonds,2,clubs,2,spades,3,diamonds,9,hearts,1,clubs,3,clubs,6,1
3,12,spades,3,hearts,2,spades,3,diamonds,9,hearts,1,clubs,3,clubs,3,-1
4,2,hearts,12,clubs,1,hearts,12,hearts,4,clubs,10,hearts,8,spades,1,1
5,9,clubs,9,diamonds,1,hearts,12,hearts,4,clubs,10,hearts,8,spades,1,-1
6,13,hearts,12,clubs,12,spades,4,diamonds,7,spades,12,spades,1,hearts,3,1
7,5,spades,3,diamonds,12,spades,4,diamonds,7,spades,12,spades,1,hearts,1,-1
8,9,diamonds,5,spades,7,hearts,2,diamonds,10,spades,5,spades,6,diamonds,1,1
9,1,diamonds,7,spades,7,hearts,2,diamonds,10,spades,5,spades,6,diamonds,1,-1
10,12,clubs,13,spades,5,hearts,10,spades,9,hearts,4,spades,6,spades,0,1
11,3,hearts,11,spades,5,hearts,10,spades,9,hearts,4,spades,6,spades,0,-1
12,9,clubs,11,hearts,2,spades,2,clubs,4,clubs,2,hearts,3,diamonds,3,1
13,6,diamonds,12,spades,2,spades,2,clubs,4,clubs,2,hearts,3,diamonds,3,-1
14,9,spades,2,hearts,10,hearts,7,spades,12,spades,1,hearts,8,clubs,0,-1
15,10,hearts,5,clubs,10,hearts,7,spades,12,spades,1,hearts,8,clubs,1,1
16,1,diamonds,13,hearts,11,diamonds,4,diamonds,3,clubs,3,hearts,11,hearts,2,1
17,5,spades,6,clubs,11,diamonds,4,diamonds,3,clubs,3,hearts,11,hearts,2,-1
18,2,clubs,13,hearts,6,spades,8,spades,6,diamonds,6,diamonds,9,hearts,3,1
19,13,spades,2,spades,6,spades,8,spades,6,diamonds,6,diamonds,9,hearts,3,-1
20,7,clubs,13,clubs,12,spades,5,hearts,11,spades,8,diamonds,4,diamonds,0,-1
21,6,clubs,8,diamonds,12,spades,5,hearts,11,spades,8,diamonds,4,diamonds,1,1
22,13,hearts,8,diamonds,3,diamonds,10,hearts,13,hearts,3,diamonds,6,clubs,2,1
23,9,clubs,9,diamonds,3,diamonds,10,hearts,13,hearts,3,diamonds,6,clubs,2,-1
24,10,spades,2,spades,12,spades,3,clubs,8,spades,2,diamonds,7,diamonds,1,1
25,3,spades,9,diamonds,12,spades,3,clubs,8,spades,2,diamonds,7,diamonds,1,-1
26,10,spades,7,diamonds,7,hearts,13,clubs,7,spades,1,hearts,3,spades,3,1
27,11,hearts,4,hearts,7,hearts,13,clubs,7,spades,1,hearts,3,spades,1,-1
28,13,spades,7,hearts,7,spades,3,hearts,6,spades,11,hearts,10,spades,1,-1
29,10,spades,6,diamonds,7,spades,3,hearts,6,spades,11,hearts,10,spades,2,1
30,2,hearts,12,diamonds,12,diamonds,7,clubs,10,diamonds,12,clubs,8,clubs,3,1
31,3,diamonds,12,diamonds,12,diamonds,7,clubs,10,diamonds,12,clubs,8,clubs,3,-1
32,11,diamonds,2,spades,6,diamonds,2,clubs,13,diamonds,9,clubs,6,clubs,2,1
33,9,spades,7,hearts,6,diamonds,2,clubs,13,diamonds,9,clubs,6,clubs,2,-1
34,10,diamonds,9,clubs,10,clubs,1,clubs,10,diamonds,10,spades,9,hearts,7,1
35,5,spades,9,clubs,10,clubs,1,clubs,10,diamonds,10,spades,9,hearts,6,-1
36,3,hearts,13,clubs,4,clubs,1,hearts,13,diamonds,6,spades,10,clubs,1,1
37,5,clubs,11,clubs,4,clubs,1,hearts,13,diamonds,6,spades,10,clubs,0,-1
