cardmed,cardrng,mcsuitprob,duprcards,duprgszmax,maxseqsize,winner
9.0,11,0.3333333333333333,2,2,2,1
6.0,10,0.5,0,1,2,1
7.5,11,0.6666666666666666,2,2,1,1
9.5,8,0.3333333333333333,0,1,3,1
3.5,11,0.5,2,2,3,1
5.5,12,0.5,2,2,2,-1
5.0,9,0.8333333333333334,3,3,2,1
7.5,8,0.3333333333333333,4,2,1,1
8.0,10,0.3333333333333333,2,2,2,1
2.5,9,0.5,3,3,2,-1
8.0,10,0.3333333333333333,4,2,1,1
6.5,12,0.5,2,2,3,-1
10.0,11,0.3333333333333333,3,3,1,-1
5.0,7,0.6666666666666666,2,2,2,1
5.5,8,0.5,2,2,2,1
8.0,11,0.6666666666666666,0,1,2,-1
5.0,7,0.6666666666666666,4,2,1,1
6.0,5,0.3333333333333333,2,2,3,1
6.5,9,0.3333333333333333,0,1,3,1
3.5,12,0.3333333333333333,3,3,2,1
3.5,10,0.3333333333333333,2,2,4,1
6.5,10,0.3333333333333333,2,2,3,1
6.5,12,0.3333333333333333,2,2,3,1
5.0,9,0.5,4,2,1,1
7.0,11,0.3333333333333333,0,1,2,1
10.0,5,0.5,4,2,3,1
13.0,7,0.3333333333333333,4,4,1,1
10.5,12,0.6666666666666666,0,1,4,1
4.0,11,0.5,2,2,2,-1
7.0,11,0.5,2,2,2,1
6.5,8,0.3333333333333333,2,2,2,1
5.0,8,0.5,4,2,2,1
3.5,9,0.6666666666666666,0,1,5,1
8.5,10,0.3333333333333333,0,1,4,1
6.5,10,0.5,0,1,2,1
3.5,10,0.6666666666666666,3,3,2,1
7.5,6,0.3333333333333333,4,2,2,1
11.0,6,0.5,5,3,1,1
5.5,12,0.5,0,1,3,-1
9.0,11,0.3333333333333333,2,2,1,1
6.5,11,0.5,2,2,2,-1
9.5,12,0.3333333333333333,2,2,1,1
10.0,12,0.3333333333333333,2,2,1,1
7.0,10,0.5,0,1,2,1
6.5,12,0.5,2,2,2,1
9.5,8,0.3333333333333333,5,3,2,1
9.5,11,0.5,0,1,4,1
5.0,11,0.5,2,2,3,-1
7.5,10,0.3333333333333333,2,2,2,1
3.5,6,0.3333333333333333,2,2,3,1
8.5,12,0.5,2,2,1,1
9.5,10,0.5,0,1,2,1
6.5,11,0.6666666666666666,2,2,2,1
7.5,6,0.6666666666666666,5,3,1,1
3.0,5,0.5,4,2,2,1
9.5,4,0.5,3,3,2,1
5.0,8,0.5,2,2,2,1
6.5,12,0.5,0,1,1,1
9.5,10,0.5,2,2,1,1
9.0,9,0.5,2,2,2,-1
9.0,8,0.3333333333333333,0,1,3,1
9.0,10,0.3333333333333333,4,2,2,1
8.0,6,0.5,5,3,1,-1
6.0,10,0.6666666666666666,4,2,1,1
2.5,8,0.5,2,2,3,-1
7.5,12,0.8333333333333334,0,1,3,1
4.0,9,0.5,4,2,2,-1
4.5,10,0.6666666666666666,2,2,3,-1
7.5,9,0.5,0,1,3,-1
7.5,7,0.5,2,2,4,1
5.5,12,0.3333333333333333,4,2,2,-1
7.5,5,0.5,2,2,3,-1
9.5,10,0.3333333333333333,0,1,3,-1
7.5,8,0.5,2,2,3,1
6.0,11,0.5,2,2,1,-1
4.5,12,0.5,2,2,1,-1
5.5,11,0.5,2,2,2,1
9.0,6,0.5,3,3,3,1
6.5,12,0.5,4,2,1,1
5.0,10,0.5,2,2,1,-1
